"filename", "language", "PHP", "JavaScript", "HTML", "Markdown", "CSS", "XML", "SCSS", "JSON", "YAML", "comment", "blank", "total"
"c:\laragon\www\grado\.styleci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\laragon\www\grado\README.md", "Markdown", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 20, 80
"c:\laragon\www\grado\app\Almacen.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 13
"c:\laragon\www\grado\app\Category.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\laragon\www\grado\app\Console\Kernel.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 18, 7, 42
"c:\laragon\www\grado\app\DisDetail.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 13
"c:\laragon\www\grado\app\Distribution.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 13
"c:\laragon\www\grado\app\Exceptions\Handler.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 29, 7, 60
"c:\laragon\www\grado\app\Exports\ReportExport.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 75
"c:\laragon\www\grado\app\Follow.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\laragon\www\grado\app\Http\Controllers\AlmacenController.php", "PHP", 72, 0, 0, 0, 0, 0, 0, 0, 0, 46, 13, 131
"c:\laragon\www\grado\app\Http\Controllers\Auth\ForgotPasswordController.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 33
"c:\laragon\www\grado\app\Http\Controllers\Auth\LoginController.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"c:\laragon\www\grado\app\Http\Controllers\Auth\RegisterController.php", "PHP", 33, 0, 0, 0, 0, 0, 0, 0, 0, 32, 9, 74
"c:\laragon\www\grado\app\Http\Controllers\Auth\ResetPasswordController.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 40
"c:\laragon\www\grado\app\Http\Controllers\Auth\VerificationController.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 42
"c:\laragon\www\grado\app\Http\Controllers\CategoryController.php", "PHP", 64, 0, 0, 0, 0, 0, 0, 0, 0, 46, 11, 121
"c:\laragon\www\grado\app\Http\Controllers\CoachController.php", "PHP", 94, 0, 0, 0, 0, 0, 0, 0, 0, 43, 13, 150
"c:\laragon\www\grado\app\Http\Controllers\Controller.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\laragon\www\grado\app\Http\Controllers\CustomerController.php", "PHP", 97, 0, 0, 0, 0, 0, 0, 0, 0, 43, 13, 153
"c:\laragon\www\grado\app\Http\Controllers\DistributionController.php", "PHP", 466, 0, 0, 0, 0, 0, 0, 0, 0, 61, 33, 560
"c:\laragon\www\grado\app\Http\Controllers\HomeController.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\laragon\www\grado\app\Http\Controllers\OrderController.php", "PHP", 265, 0, 0, 0, 0, 0, 0, 0, 0, 57, 35, 357
"c:\laragon\www\grado\app\Http\Controllers\ProductController.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 0, 48, 10, 89
"c:\laragon\www\grado\app\Http\Controllers\ProductTypeController.php", "PHP", 131, 0, 0, 0, 0, 0, 0, 0, 0, 45, 16, 192
"c:\laragon\www\grado\app\Http\Controllers\PromotionController.php", "PHP", 64, 0, 0, 0, 0, 0, 0, 0, 0, 46, 11, 121
"c:\laragon\www\grado\app\Http\Controllers\ReservationController.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 19
"c:\laragon\www\grado\app\Http\Controllers\ResponsibleController.php", "PHP", 93, 0, 0, 0, 0, 0, 0, 0, 0, 37, 11, 141
"c:\laragon\www\grado\app\Http\Controllers\SalesController.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 0, 47, 10, 86
"c:\laragon\www\grado\app\Http\Controllers\SpaceController.php", "PHP", 69, 0, 0, 0, 0, 0, 0, 0, 0, 46, 10, 125
"c:\laragon\www\grado\app\Http\Controllers\SportController.php", "PHP", 66, 0, 0, 0, 0, 0, 0, 0, 0, 40, 10, 116
"c:\laragon\www\grado\app\Http\Controllers\TeamController.php", "PHP", 64, 0, 0, 0, 0, 0, 0, 0, 0, 40, 10, 114
"c:\laragon\www\grado\app\Http\Controllers\TrainController.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 47, 10, 92
